City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,busselton,44,AU,1525254451,100,-33.64,115.35,63.74,24.9
1,cidreira,44,BR,1525254486,90,-30.17,-50.22,66.89,11.7
2,hofn,90,IS,1525251600,86,64.25,-15.21,39.2,18.34
3,mamallapuram,40,IN,1525253400,63,12.63,80.17,93.2,13.87
4,mehamn,0,NO,1525252800,64,71.03,27.85,42.8,14.99
5,thompson,75,CA,1525251600,60,55.74,-97.86,32.0,3.36
6,anzio,0,IT,1525252800,43,41.45,12.63,75.2,6.93
7,mareeba,40,AU,1525251600,88,-16.99,145.42,71.6,8.05
8,muisne,100,EC,1525254841,98,0.61,-80.02,73.19,2.42
9,longyearbyen,75,NO,1525252800,97,78.22,15.63,32.0,4.7
10,sorland,0,NO,1525252800,91,67.67,12.69,48.2,16.11
11,cabo san lucas,12,MX,1525254574,100,22.89,-109.91,68.06,15.95
12,tibiri,0,NE,1525251600,39,13.59,7.06,95.0,13.87
13,georgetown,75,GY,1525251600,94,6.8,-58.16,77.0,6.93
14,port-gentil,75,GA,1525251600,89,-0.72,8.78,84.2,4.7
15,punta arenas,40,CL,1525251600,69,-53.16,-70.91,39.2,10.29
16,bathsheba,40,BB,1525251600,78,13.22,-59.52,78.8,18.34
17,hobart,0,AU,1525251600,55,-42.88,147.33,62.6,3.36
18,ushuaia,40,AR,1525251600,52,-54.81,-68.31,46.4,13.87
19,padang,68,ID,1525254591,100,-0.92,100.36,83.0,4.21
20,oyem,75,GA,1525251600,78,1.6,11.57,78.8,2.19
21,khandyga,0,RU,1525254844,48,62.65,135.58,43.94,5.99
22,leningradskiy,32,RU,1525254472,74,69.38,178.42,12.44,15.39
23,menongue,0,AO,1525254845,40,-14.66,17.68,76.25,3.98
24,hilo,90,US,1525251540,94,19.71,-155.08,71.6,3.36
25,nikolskoye,90,RU,1525251600,87,59.7,30.79,51.8,6.71
26,kununurra,40,AU,1525251600,48,-15.77,128.74,86.0,5.99
27,magadan,20,RU,1525251600,86,59.56,150.8,28.4,4.47
28,port pirie,48,AU,1525251600,22,-33.18,138.01,77.0,12.75
29,tsaratanana,0,MG,1525254846,40,-16.8,47.65,88.04,16.28
30,raudeberg,75,NO,1525252800,57,61.99,5.14,51.8,17.22
31,pasni,0,PK,1525254847,61,25.26,63.48,92.63,15.05
32,vaini,0,IN,1525254449,37,15.34,74.49,95.78,7.23
33,vestmannaeyjar,0,IS,1525251600,69,63.44,-20.27,37.4,11.41
34,rikitea,92,PF,1525254453,100,-23.12,-134.97,78.05,10.8
35,urubicha,20,BO,1525254848,97,-15.63,-63.08,72.74,1.86
36,berlevag,0,NO,1525251000,45,70.86,29.09,42.8,3.36
37,grindavik,40,IS,1525253400,69,63.84,-22.43,37.4,2.24
38,seoul,90,KR,1525252560,82,37.57,126.98,57.2,9.17
39,norman wells,75,CA,1525251600,80,65.28,-126.83,30.2,2.24
40,pochutla,0,MX,1525254849,100,15.74,-96.47,82.1,3.76
41,cape town,75,ZA,1525252620,93,-33.93,18.42,59.0,9.17
42,hermanus,36,ZA,1525254485,75,-34.42,19.24,62.48,10.25
43,merauke,56,ID,1525254850,67,-8.49,140.4,86.96,17.18
44,aswan,0,EG,1525251600,10,24.09,32.9,102.2,6.93
45,souillac,0,FR,1525253400,54,45.6,-0.6,57.2,5.82
46,ostrovnoy,0,RU,1525254487,100,68.05,39.51,32.87,5.99
47,bluff,92,AU,1525254460,41,-23.58,149.07,75.89,6.44
48,pangnirtung,20,CA,1525254566,61,66.15,-65.72,-3.04,7.78
49,esperance,20,TT,1525251600,94,10.24,-61.45,75.2,5.44
50,mataura,88,NZ,1525254442,94,-46.19,168.86,49.88,3.98
51,kieta,68,PG,1525254493,100,-6.22,155.63,78.41,2.53
52,labuhan,24,ID,1525254611,80,-2.54,115.51,82.19,2.75
53,rodos,0,GR,1525252800,34,36.44,28.22,82.4,10.29
54,kharp,8,RU,1525254544,92,66.82,65.8,16.67,14.72
55,ballina,40,IE,1525253400,75,54.11,-9.15,44.6,18.34
